Name.of.File,sample_start,sample_end
Jamilla_21-09-24__SI_L4&5_p2_ipad6,00:00:03,00:00:14
Mai_21-10-19_SI_L2_P4_yeti1,00:40:16,00:41:11
Mai_21-10-05_SI_L1_P4_Sony4,00:00:07,00:01:03
Mai_21-10-29_SI_L4_P4_yeti2_3,00:00:25,00:01:12
Tami_22_01_28_SI-L2_P1_ipad1,00:29:00,00:29:09
Tami_22_01_14_SI_L1_p1_Ipad2_yeti2(2-2),NA,NA
Tami_22-2-1_SI_L2_p1_ipad4,00:11:55,00:12:10
Tami_22_01_28_SI-L2_P1_ipad12,00:30:30,00:30:42
Tami_22_01_28_SI-L2_P1_ipad9,00:29:30,00:29:45
Tara_2022_03_09_SI_L1_R106_iPad10,00:03:03,00:04:21
Tara_2022_03_09_SI_L1_R106_iPad3,00:03:15,00:03:47
Tara_2022_03_02_SI_L1_R106_iPad3,00:07:32,00:08:30
Tara_2022_03_02_SI_L1_R106_iPad10,00:07:20,00:08:11
Tara_2022_03_07_SI_L1_R202_iPad8,00:07:25,00:09:01
Tara_2022_03_21_SI_R202_iPad3,00:01:50,00:03:42
Tara_2022_04_19_SI_L2_P202_iPad8,00:15:20,00:15:50
Tara_2022_02_28_SI_L1_R204_iPad8,00:17:40,00:19:22
Tara_2022_02_28_SI_L1_R204_iPad11,00:17:15,00:18:20
Tara_2022_03_01_SI_L1_R206_iPad8,00:07:27,00:08:44
Tara_2022_03_23_SI_R106_iPad10,00:04:13,00:05:55
Tami_22-1-25_SI_L2_P1_ipad4,00:22:22,00:23:03
Tami_22-2-1_SI_L2_p1_ipad2,00:11:00,00:11:30
Tami_22-1-26_SI_L2_p1_ipad1_Yeti1,00:18:35,00:19:12
Faye_21-09-28_SI_L2_P2_yeti5,00:15:00,00:15:10
Crystal_21-11-04_Si_l2_p2_video_yeti7,00:13:13,00:14:13
