Name.of.File,sample_start,sample_end
Chris_M_21-10-05_SI_L4_P4_yeti10,00:25:02,00:30:02
Chris_M_21-09-28_SI_L2_P4_yeti6,00:25:54,00:30:54
Chris_M_21-09-29_SI_L2_P4_yeti10,00:23:30,00:28:30
Chris_M_21-10-05_SI_L4_P5_yeti10,00:24:08,00:29:08
Chris_M_21-10-05_SI_L4_p5_yeti6,00:20:35,00:25:35
Chris_M_21-09-28_SI_l2_p7_ipad5,00:15:52,00:20:52
Chris_M_21-09-29_SI_l2_p7_ipad6,00:13:10,00:18:10
Chris_S_22-1-31_SI_L2_p3_ipad10,00:26:27,00:31:27
Crystal_21-11-18_SI_L4_P2_video_yeti5,00:21:59,00:26:59
Crystal_21-11-04_si_l2_p3_video_yeti5,00:15:10,00:20:10
Crystal_21-11-09_SI_L2_p3_Video_Yeti7,00:13:19,00:18:19
Crystal_21-11-18_si_l4_p4_Video_yeti8,00:14:25,00:19:25
Crystal_21-11-09_SI_l2_p4_video_yeti7,00:22:25,00:27:25
Crystal_21-11-04_si_l2_p4_yeti5,00:28:03,00:33:03
Crystal_21-11-05_SI_L2_p5_Video_Yeti7,00:28:59,00:33:59
Crystal_21-11-18_si_l4_p5_VIDEO_yeti4,00:10:39,00:15:39
Crystal_21-11-11_si_l3_p5_video_yeti4(2),00:13:43,00:18:43
Crystal_21-11-11_si_l3_p6_video_yeti9,00:17:17,00:22:17
Crystal_21-11-01_SI_L1_p6_yeti07,00:08:50,00:13:50
Crystal_2021-10-4_SI_L4_P2_yeti4_Group,00:05:59,00:10:59
Crystal_21-09-28_SI_L4_P2_Group,00:11:37,00:16:37
Crystal_2021-10-4_SI_L4_P3_yeti4_Group,00:10:45,00:15:45
Crystal_2021-10-1_SI_L4_P3_yeti4_Group(2-2),00:00:01,00:05:01
Crystal_21-09-28_SI_L4_P3_yeti4_Group,00:03:22,00:08:22
Crystal_21-09-24_SI_L3_P4_yeti4,00:12:22,00:17:22
Crystal_21-11-18_si_l4_p6_video_ipad9,00:18:23,00:23:23
Faye_21-10-04_SI_L4_P2_yeti5,00:03:14,00:08:14
Faye_21-09-29_SI_L2_p2_yeti6,00:20:14,00:25:14
Faye_21-10-07_SI_l4_p2_yeti7_ipad10,00:25:56,00:30:56
Faye_21-09-29_SI_L2_P2_yeti9,00:19:40,00:24:40
Faye_21-10-01_SI_L3_p4_yeti5,00:12:16,00:17:16
Faye_21-09-29_SI_L2_P4_yeti5,00:32:56,00:37:56
Faye_21-10-01_SI_L3_p4_yeti7,00:08:22,00:13:22
Faye_21-10-05_SI_L4_P4_yeti5,00:22:07,00:27:07
Faye_21-9-29_SI_l2_p8_yeti7_ipad10,00:24:12,00:29:12
Jamilla_21-09-24__SI_L4&5_p2_ipad6,00:10:32,00:15:32
Mai_21-10-19_SI_L2_P4_yeti1,00:46:08,00:51:08
Mai_21-10-05_SI_L1_P4_Sony4,00:02:49,00:07:49
Mai_21-10-29_SI_L4_P4_yeti2_3,00:24:45,00:29:45
Tami_22_01_28_SI-L2_P1_ipad1,00:34:01,00:39:01
Tami_22_01_14_SI_L1_p1_Ipad2_yeti2(2-2),00:07:45,00:12:45
Tami_22-2-1_SI_L2_p1_ipad4,00:21:18,00:26:18
Tami_22_01_28_SI-L2_P1_ipad12,00:31:39,00:36:39
Tami_22_01_28_SI-L2_P1_ipad9,00:34:57,00:39:57
Tara_2022_03_09_SI_L1_R106_iPad10,00:04:33,00:09:33
Tara_2022_03_09_SI_L1_R106_iPad3,00:04:45,00:09:45
Tara_2022_03_02_SI_L1_R106_iPad3,00:09:15,00:14:15
Tara_2022_03_02_SI_L1_R106_iPad10,00:10:05,00:15:05
Tara_2022_03_07_SI_L1_R202_iPad8,00:09:57,00:14:57
Tara_2022_03_21_SI_R202_iPad3,00:06:25,00:11:25
Tara_2022_04_19_SI_L2_P202_iPad8,00:17:31,00:22:31
Tara_2022_02_28_SI_L1_R204_iPad8,00:07:46,00:12:46
Tara_2022_02_28_SI_L1_R204_iPad11,00:11:49,00:16:49
Tara_2022_03_01_SI_L1_R206_iPad8,00:10:18,00:15:18
Tara_2022_03_23_SI_R106_iPad10,00:14:38,00:19:38
Tami_22-1-25_SI_L2_P1_ipad4,00:16:30,00:21:30
Tami_22-2-1_SI_L2_p1_ipad2,00:22:21,00:27:21
Tami_22-1-26_SI_L2_p1_ipad1_Yeti1,00:22:38,00:27:38
Faye_21-09-28_SI_L2_P2_yeti5,00:23:55,00:28:55
Crystal_21-11-04_Si_l2_p2_video_yeti7,00:19:43,00:24:43
