Name.of.File,sample_start,sample_end
Crystal_21-11-18_SI_L4_P2_video_yeti5,00:21:59,00:26:59
Crystal_21-11-04_si_l2_p3_video_yeti5,00:15:10,00:20:10
Crystal_21-11-09_SI_L2_p3_Video_Yeti7,00:13:19,00:18:19
Crystal_21-11-18_si_l4_p4_Video_yeti8,00:14:25,00:19:25
Crystal_21-11-09_SI_l2_p4_video_yeti7,00:22:25,00:27:25
Crystal_21-11-04_si_l2_p4_yeti_5,00:28:03,00:33:03
Crystal_21-11-05_SI_L2_p5_Video_Yeti7,00:28:59,00:33:59
Crystal_21-11-18_si_l4_p5_VIDEO_yeti4,00:10:39,00:15:39
Crystal_21-11-11_si_l3_p5_video_yeti4(2),00:13:43,00:18:43
Crystal_21-11-11_si_l3_p6_video_yeti9,00:17:17,00:22:17
Crystal_21-11-01_SI_L1_p6_yeti07,00:08:50,00:13:50
Crystal_2021-10-4_SI_L4_P2_yeti4_Group,00:05:59,00:10:59
Crystal_21-09-28_SI_L4_P2_Group(1),00:11:37,00:16:37
Crystal_2021-10-4_SI_L4_P3_yeti4_Group,00:10:45,00:15:45
Crystal_2021-10-1_SI_L4_P3_yeti4_Group(2/2),00:00:01,00:05:01
Crystal_21-09-28_SI_L4_P3_yeti4_Group(1),00:03:22,00:08:22
Crystal_21-09-24_SI_L3_P4_yeti4,00:12:22,00:17:22
Crystal_21-11-18_si_l4_p6_video_ipad9,00:18:23,00:23:23
Crystal_21-11-04_Si_l2_p2_video_yeti7,00:19:43,00:24:43
